id_petshop,id_produto,id_cliente,created_at,quantidade,valor
6,11,149,2020-11-17,5,52.5
2,12,138,2019-07-23,5,129.99
4,1,381,2022-03-31,4,360
3,3,165,2021-07-15,2,154.9
4,3,24,2020-08-29,4,154.9
2,4,382,2022-01-18,3,131.99
4,13,234,2020-08-31,4,35
5,13,147,2019-07-23,5,35
3,21,127,2021-09-29,1,3299.99
4,6,107,2020-06-26,3,9.99
4,9,178,2022-05-01,3,28.99
4,22,123,2019-08-05,5,78.99
6,22,245,2020-02-11,2,78.99
4,2,18,2020-07-07,1,2.99
5,12,123,2021-01-13,4,129.99
6,17,497,2019-11-11,3,70.3
3,7,155,2019-09-27,4,8.99
1,12,244,2022-01-18,4,129.99
5,2,215,2019-09-20,3,2.99
3,22,313,2021-10-08,3,78.99
2,2,187,2019-07-08,1,2.99
2,20,158,2021-12-27,4,95.99
5,11,270,2020-07-01,1,52.5
2,5,183,2020-02-02,4,28.99
1,2,69,2021-04-19,3,2.99
4,5,349,2022-05-06,3,28.99
1,10,244,2021-10-13,4,20.99
6,14,25,2020-07-16,1,57.9
6,21,109,2020-10-08,5,3299.99
4,22,9,2019-07-08,1,78.99
1,21,69,2021-11-30,5,3299.99
6,19,77,2019-09-23,5,31.99
2,20,207,2019-07-27,4,95.99
4,2,268,2020-03-21,4,2.99
4,7,34,2020-02-04,1,8.99
3,4,19,2021-01-30,3,131.99
3,16,386,2022-03-16,4,106.99
5,11,191,2019-09-03,4,52.5
3,8,182,2020-11-07,4,21.99
6,6,10,2020-08-01,3,9.99
3,11,230,2022-05-03,2,52.5
5,5,297,2021-01-02,5,28.99
2,12,293,2020-08-20,4,129.99
6,13,288,2022-04-03,5,35
4,3,63,2019-12-27,4,154.9
5,10,3,2021-04-05,1,20.99
1,8,326,2021-08-05,5,21.99
3,12,133,2021-11-05,2,129.99
4,23,158,2019-08-18,3,259.99
3,16,147,2020-12-09,2,106.99
3,4,483,2020-09-06,5,131.99
4,12,235,2021-04-11,3,129.99
1,8,287,2020-10-29,2,21.99
4,7,4,2020-02-28,2,8.99
3,3,494,2022-01-04,4,154.9
3,15,322,2020-10-23,2,548.99
1,17,373,2021-12-09,5,70.3
5,14,485,2020-03-15,1,57.9
1,6,287,2020-07-30,5,9.99
3,10,126,2021-06-07,5,20.99
3,1,15,2022-01-24,5,360
4,19,335,2019-08-29,5,31.99
4,20,177,2022-02-26,2,95.99
6,8,410,2020-07-07,4,21.99
2,15,181,2019-11-01,4,548.99
2,22,423,2020-06-24,3,78.99
5,5,240,2021-07-12,3,28.99
5,11,218,2021-08-11,5,52.5
2,22,214,2021-01-21,2,78.99
1,8,458,2021-10-06,5,21.99
1,22,74,2022-03-28,5,78.99
1,16,346,2020-07-22,1,106.99
2,16,6,2020-07-10,1,106.99
3,23,133,2019-07-26,1,259.99
4,17,225,2020-10-01,4,70.3
2,7,184,2021-08-10,2,8.99
6,20,100,2021-05-29,2,95.99
1,4,463,2019-07-28,5,131.99
4,9,443,2022-03-12,5,28.99
6,7,448,2020-11-21,4,8.99
4,13,385,2022-03-23,1,35
1,19,63,2021-07-09,5,31.99
6,22,121,2020-12-08,2,78.99
5,20,441,2019-11-09,1,95.99
6,21,236,2022-04-22,4,3299.99
5,23,492,2019-12-12,5,259.99
1,2,239,2021-10-28,3,2.99
1,3,128,2022-03-24,5,154.9
4,4,258,2020-02-14,4,131.99
4,14,395,2019-06-03,1,57.9
2,16,452,2021-12-07,1,106.99
5,14,76,2021-10-03,3,57.9
6,3,302,2021-09-11,3,154.9
5,4,39,2020-05-27,2,131.99
5,22,425,2019-09-23,5,78.99
5,11,35,2021-05-22,2,52.5
5,8,71,2019-06-03,2,21.99
1,22,388,2021-05-18,2,78.99
6,21,200,2019-12-20,3,3299.99
4,12,267,2020-12-24,4,129.99
3,19,352,2020-05-06,1,31.99
6,23,292,2019-07-14,3,259.99
4,10,374,2021-11-28,3,20.99
4,7,145,2021-02-26,5,8.99
4,10,52,2019-12-20,3,20.99
6,19,147,2019-10-17,2,31.99
2,10,160,2019-08-16,4,20.99
1,9,482,2020-12-12,2,28.99
1,7,359,2021-12-22,4,8.99
6,1,138,2019-10-01,3,360
6,1,255,2022-05-23,3,360
5,2,349,2022-03-08,5,2.99
1,4,371,2020-01-08,3,131.99
2,13,403,2021-07-02,2,35
3,23,84,2020-08-29,1,259.99
6,1,251,2021-05-31,4,360
6,17,28,2020-07-14,1,70.3
4,7,46,2021-08-09,3,8.99
1,5,267,2021-08-22,5,28.99
4,23,230,2020-06-29,1,259.99
1,7,257,2019-07-12,5,8.99
4,3,262,2021-08-16,1,154.9
1,9,206,2021-07-27,2,28.99
2,9,271,2021-09-01,2,28.99
2,3,233,2021-04-11,5,154.9
1,17,256,2020-12-12,1,70.3
1,16,117,2020-05-07,4,106.99
2,16,61,2020-07-15,4,106.99
3,3,367,2021-05-01,1,154.9
2,20,486,2020-01-09,1,95.99
1,14,408,2019-08-28,1,57.9
6,23,127,2022-01-10,1,259.99
1,16,468,2020-09-02,4,106.99
3,8,289,2021-06-07,3,21.99
1,13,170,2021-03-14,2,35
4,15,477,2019-08-19,5,548.99
5,13,226,2021-09-10,5,35
5,11,310,2020-02-04,2,52.5
2,10,191,2020-02-03,1,20.99
5,17,17,2021-11-25,3,70.3
3,20,370,2020-02-28,4,95.99
2,19,277,2021-01-11,3,31.99
4,23,182,2022-04-19,4,259.99
1,7,473,2020-08-14,5,8.99
3,3,48,2019-07-21,3,154.9
4,12,159,2022-04-10,5,129.99
5,6,155,2019-09-11,2,9.99
2,10,88,2021-04-08,5,20.99
6,18,223,2021-02-02,5,95.99
4,8,268,2020-05-14,3,21.99
3,17,455,2021-05-13,5,70.3
2,3,327,2020-04-07,3,154.9
2,14,370,2020-08-18,3,57.9
1,20,128,2019-10-09,4,95.99
4,9,305,2020-07-27,1,28.99
4,19,126,2021-05-10,1,31.99
3,14,197,2020-09-25,4,57.9
5,7,47,2019-09-16,2,8.99
4,2,438,2019-11-17,4,2.99
2,18,453,2020-03-26,2,95.99
4,13,175,2021-07-24,2,35
1,4,18,2022-02-07,4,131.99
6,18,67,2022-04-12,3,95.99
2,23,69,2021-06-12,2,259.99
2,17,191,2019-10-21,3,70.3
6,17,339,2021-10-06,3,70.3
2,17,13,2022-02-27,1,70.3
4,12,233,2020-03-20,2,129.99
4,19,290,2020-02-03,2,31.99
3,18,480,2019-12-13,1,95.99
4,9,196,2020-03-12,2,28.99
1,4,64,2020-09-06,5,131.99
4,11,234,2019-11-13,4,52.5
2,3,323,2021-04-07,2,154.9
5,3,401,2022-01-27,5,154.9
2,1,463,2019-11-18,2,360
4,3,190,2021-05-15,3,154.9
6,13,260,2020-11-18,4,35
2,16,333,2020-01-09,5,106.99
4,15,413,2020-03-12,3,548.99
1,1,257,2020-02-18,3,360
2,11,346,2021-08-26,1,52.5
6,8,301,2021-12-31,3,21.99
1,4,158,2020-02-17,5,131.99
6,13,426,2020-04-19,5,35
2,9,29,2020-06-15,2,28.99
1,1,107,2021-01-29,1,360
6,15,369,2019-07-21,3,548.99
1,11,125,2021-07-29,1,52.5
6,21,200,2020-06-15,3,3299.99
4,8,358,2021-12-26,5,21.99
3,6,219,2020-03-04,3,9.99
4,7,36,2019-07-24,5,8.99
5,14,303,2021-04-05,2,57.9
2,16,426,2022-01-24,5,106.99
6,20,283,2020-04-01,1,95.99
6,7,438,2019-11-22,2,8.99
5,9,404,2021-01-22,5,28.99
6,16,234,2021-02-12,5,106.99
2,23,125,2019-09-24,3,259.99
4,5,222,2021-06-30,4,28.99
3,6,212,2022-04-03,5,9.99
1,13,314,2020-08-21,4,35
3,22,487,2021-10-29,4,78.99
1,17,455,2020-09-03,2,70.3
2,23,439,2021-12-03,1,259.99
4,4,50,2021-03-28,1,131.99
3,18,440,2020-07-28,3,95.99
6,6,187,2021-08-18,1,9.99
2,17,283,2020-04-26,2,70.3
3,7,93,2021-08-02,1,8.99
5,9,461,2020-09-11,3,28.99
1,19,284,2021-11-27,1,31.99
3,19,26,2020-08-29,1,31.99
1,9,138,2020-05-10,2,28.99
6,1,469,2021-08-10,5,360
1,20,56,2020-02-13,3,95.99
6,15,423,2019-12-28,2,548.99
1,2,92,2020-03-25,4,2.99
4,3,27,2019-12-30,3,154.9
5,15,193,2021-01-24,4,548.99
3,1,417,2019-12-12,1,360
2,23,121,2021-09-14,3,259.99
4,22,445,2020-12-18,1,78.99
3,20,96,2020-03-17,4,95.99
2,8,83,2020-01-07,2,21.99
4,15,491,2020-02-27,1,548.99
5,16,83,2021-02-12,3,106.99
2,16,292,2022-04-07,5,106.99
1,16,440,2020-06-20,5,106.99
4,10,1,2022-01-04,2,20.99
3,16,352,2019-08-09,4,106.99
3,21,99,2021-04-09,2,3299.99
2,16,140,2020-06-24,5,106.99
4,17,347,2020-03-06,5,70.3
3,3,76,2019-12-10,2,154.9
2,9,99,2021-09-14,2,28.99
6,5,46,2020-12-29,2,28.99
2,13,488,2021-04-14,5,35
5,11,240,2020-11-19,2,52.5
6,15,421,2019-09-14,2,548.99
6,6,351,2020-06-09,2,9.99
1,16,394,2021-03-31,5,106.99
6,21,20,2021-07-11,4,3299.99
3,18,50,2019-06-19,5,95.99
4,2,300,2021-10-14,2,2.99
1,13,252,2019-10-25,5,35
3,20,85,2019-09-02,4,95.99
5,16,70,2019-07-27,1,106.99
1,13,148,2019-09-12,2,35
5,4,44,2021-03-21,1,131.99
6,4,160,2021-04-23,1,131.99
6,23,288,2021-04-19,5,259.99
5,1,174,2022-01-25,5,360
6,6,110,2020-03-23,2,9.99
2,10,150,2020-07-14,1,20.99
6,17,491,2021-01-30,2,70.3
2,9,112,2021-12-21,5,28.99
4,8,314,2019-08-09,5,21.99
6,8,418,2021-08-05,4,21.99
2,5,480,2020-04-03,1,28.99
1,9,190,2021-07-02,5,28.99
2,19,499,2021-02-06,4,31.99
1,10,122,2021-11-22,5,20.99
4,8,317,2020-03-13,2,21.99
6,8,493,2019-11-01,4,21.99
4,4,33,2020-03-06,2,131.99
6,6,64,2019-06-19,5,9.99
3,23,438,2019-08-10,3,259.99
3,4,423,2021-03-31,1,131.99
4,4,101,2020-09-23,5,131.99
1,8,327,2020-10-16,1,21.99
3,5,459,2020-03-16,4,28.99
1,17,369,2019-12-08,2,70.3
2,5,287,2021-07-11,3,28.99
2,13,8,2020-10-26,4,35
5,15,316,2021-09-22,4,548.99
4,12,20,2021-03-16,1,129.99
2,4,203,2021-09-16,5,131.99
3,7,325,2020-09-07,1,8.99
1,22,126,2021-04-10,1,78.99
4,2,202,2019-11-19,2,2.99
2,22,410,2021-01-20,4,78.99
5,3,495,2022-04-14,2,154.9
2,20,290,2022-03-25,1,95.99
3,17,409,2019-06-14,1,70.3
1,18,459,2020-09-28,3,95.99
1,11,196,2022-04-24,2,52.5
2,3,41,2019-12-04,2,154.9
5,19,375,2019-08-14,1,31.99
1,11,1,2019-10-11,1,52.5
1,23,449,2022-05-28,1,259.99
4,1,194,2022-05-15,1,360
3,13,279,2020-09-26,2,35
2,23,330,2020-04-17,5,259.99
6,15,140,2021-08-23,2,548.99
3,20,214,2020-01-12,1,95.99
1,22,481,2021-04-29,3,78.99
5,13,405,2022-02-12,4,35
1,13,17,2022-04-09,4,35
4,12,456,2019-12-25,2,129.99
6,12,163,2019-10-13,1,129.99
2,11,25,2021-10-03,2,52.5
1,9,319,2022-05-01,3,28.99
1,5,168,2019-11-18,3,28.99
3,16,399,2022-01-27,5,106.99
5,7,338,2021-09-12,5,8.99
5,1,393,2021-08-24,3,360
6,20,372,2022-03-10,1,95.99
4,14,433,2020-05-20,5,57.9
4,7,318,2022-03-01,2,8.99
1,13,37,2021-07-09,1,35
5,7,497,2022-04-15,1,8.99
6,13,334,2021-09-16,5,35
4,1,320,2020-09-04,3,360
2,10,480,2020-12-08,1,20.99
3,13,215,2021-03-05,4,35
6,5,156,2020-12-29,1,28.99
2,12,433,2020-06-29,2,129.99
3,10,116,2021-04-28,5,20.99
6,19,32,2021-07-16,1,31.99
5,10,350,2019-10-25,4,20.99
1,6,408,2022-05-25,3,9.99
1,23,192,2022-05-10,2,259.99
2,23,179,2022-04-08,3,259.99
6,6,62,2020-11-25,5,9.99
6,4,118,2020-09-03,3,131.99
4,16,141,2020-10-22,1,106.99
1,7,310,2019-06-16,4,8.99
6,15,194,2020-08-24,3,548.99
4,3,89,2019-06-14,4,154.9
5,20,203,2019-06-07,2,95.99
4,18,177,2019-07-07,2,95.99
6,5,376,2020-06-17,4,28.99
4,12,160,2019-12-02,1,129.99
2,18,335,2019-10-18,3,95.99
3,9,290,2021-09-28,5,28.99
3,7,189,2020-08-26,4,8.99
6,9,394,2020-07-03,5,28.99
2,8,350,2021-07-23,2,21.99
5,3,428,2020-12-04,2,154.9
1,10,465,2022-02-08,1,20.99
4,11,123,2021-04-05,1,52.5
2,7,20,2020-01-31,4,8.99
1,15,27,2022-02-25,5,548.99
1,11,378,2021-05-18,1,52.5
3,6,354,2020-02-23,4,9.99
6,6,238,2021-01-28,1,9.99
2,7,300,2020-06-12,1,8.99
1,17,230,2019-08-06,4,70.3
4,6,40,2020-08-21,3,9.99
3,23,94,2021-08-03,4,259.99
2,1,121,2020-12-07,3,360
2,4,196,2020-08-03,2,131.99
6,18,142,2020-03-16,5,95.99
5,17,457,2020-04-12,3,70.3
2,10,302,2019-09-17,4,20.99
6,6,484,2022-03-19,4,9.99
3,16,47,2020-12-03,5,106.99
1,19,23,2021-05-03,3,31.99
2,13,452,2020-02-24,3,35
4,19,479,2020-08-06,3,31.99
2,23,477,2021-09-06,5,259.99
1,16,476,2022-05-06,2,106.99
2,9,118,2020-02-20,4,28.99
6,1,9,2020-05-16,5,360
2,2,457,2022-02-25,1,2.99
1,18,396,2019-06-26,4,95.99
1,4,219,2019-12-07,2,131.99
5,19,469,2021-06-28,4,31.99
6,12,437,2021-01-26,1,129.99
5,23,150,2020-07-27,3,259.99
5,4,116,2020-08-03,1,131.99
2,12,371,2019-12-09,1,129.99
1,5,26,2020-12-15,1,28.99
2,19,38,2020-04-02,5,31.99
4,2,150,2019-07-25,3,2.99
1,12,76,2022-01-19,4,129.99
5,21,183,2021-03-14,4,3299.99
6,4,102,2021-09-12,1,131.99
3,13,170,2021-05-22,2,35
1,13,303,2022-02-20,3,35
5,9,5,2022-03-24,5,28.99
1,21,462,2019-11-26,5,3299.99
5,13,122,2021-11-05,5,35
3,5,120,2019-11-29,2,28.99
3,18,15,2020-09-05,1,95.99
1,22,474,2021-04-10,1,78.99
6,4,416,2020-10-07,4,131.99
1,23,415,2020-10-08,5,259.99
5,7,440,2020-08-21,2,8.99
4,16,78,2020-11-07,2,106.99
3,5,98,2021-10-21,5,28.99
6,23,87,2020-12-14,5,259.99
5,3,34,2021-03-08,5,154.9
2,9,224,2019-11-04,5,28.99
5,15,485,2022-03-07,2,548.99
6,14,235,2019-10-02,1,57.9
3,14,500,2020-01-12,3,57.9
3,7,363,2020-06-14,1,8.99
4,14,229,2021-05-08,5,57.9
2,2,54,2021-10-18,3,2.99
2,2,23,2021-02-12,4,2.99
5,1,130,2021-12-25,1,360
2,4,414,2020-02-06,3,131.99
6,1,107,2021-05-27,5,360
6,8,339,2019-07-01,3,21.99
2,4,417,2021-01-13,5,131.99
3,12,337,2020-09-12,3,129.99
3,7,45,2022-02-02,3,8.99
2,21,55,2022-04-27,4,3299.99
6,9,326,2021-03-25,5,28.99
2,13,70,2020-05-19,3,35
3,11,201,2021-01-29,3,52.5
4,6,178,2020-01-04,1,9.99
6,20,139,2021-09-02,1,95.99
3,10,17,2020-01-09,3,20.99
5,14,61,2020-08-06,4,57.9
5,10,367,2020-12-12,3,20.99
2,8,173,2022-04-12,4,21.99
2,16,250,2020-02-22,3,106.99
6,20,14,2020-09-02,3,95.99
4,18,169,2020-05-29,3,95.99
5,5,320,2020-03-03,3,28.99
3,21,211,2019-10-08,5,3299.99
1,17,235,2019-07-24,2,70.3
3,12,23,2020-09-12,5,129.99
1,7,342,2021-11-18,1,8.99
5,14,382,2022-01-10,4,57.9
5,16,4,2019-10-20,3,106.99
3,15,461,2019-11-07,1,548.99
6,3,430,2019-08-03,4,154.9
4,3,397,2021-08-31,1,154.9
5,14,409,2021-01-15,2,57.9
4,8,109,2022-05-19,4,21.99
6,4,490,2022-03-20,3,131.99
6,21,161,2020-07-11,4,3299.99
2,12,241,2020-01-11,1,129.99
5,1,10,2019-07-12,2,360
2,5,93,2022-02-09,5,28.99
5,13,239,2022-03-14,3,35
3,3,22,2021-12-15,1,154.9
3,17,347,2020-06-24,2,70.3
4,16,213,2021-07-27,5,106.99
3,12,184,2021-08-22,1,129.99
6,7,173,2020-01-21,4,8.99
4,13,387,2021-08-17,4,35
2,20,110,2022-05-25,5,95.99
1,21,276,2021-10-25,5,3299.99
2,18,354,2021-10-30,5,95.99
3,15,233,2021-04-27,1,548.99
1,9,185,2021-03-22,5,28.99
2,6,259,2021-03-24,4,9.99
6,16,157,2019-06-28,5,106.99
1,3,93,2020-03-04,4,154.9
3,20,147,2020-05-02,1,95.99
1,21,260,2022-04-07,5,3299.99
5,1,275,2020-02-07,1,360
4,13,345,2020-08-28,4,35
6,7,480,2021-09-16,2,8.99
4,22,254,2021-07-10,2,78.99
2,12,395,2021-12-07,1,129.99
4,8,424,2021-04-06,2,21.99
4,13,493,2021-04-03,4,35
4,13,268,2020-04-10,4,35
4,11,278,2021-09-11,2,52.5
2,4,75,2020-08-20,5,131.99
1,11,498,2019-09-05,5,52.5
6,6,205,2022-05-27,5,9.99
2,4,335,2022-03-13,4,131.99
3,13,282,2020-08-25,3,35
1,18,398,2019-11-13,5,95.99
6,19,299,2021-01-04,3,31.99
6,11,134,2019-09-06,5,52.5
5,12,458,2019-07-06,3,129.99
6,14,215,2019-06-12,4,57.9
6,15,251,2019-06-09,4,548.99
3,22,130,2019-08-20,4,78.99
2,10,317,2021-08-18,1,20.99
2,23,378,2019-08-18,5,259.99
5,14,186,2020-05-14,5,57.9
5,21,237,2022-03-13,5,3299.99
1,1,435,2020-01-05,3,360
5,8,387,2022-04-30,2,21.99
5,16,111,2019-07-11,3,106.99
5,7,278,2020-11-11,3,8.99
1,15,54,2020-10-02,5,548.99
2,21,498,2019-09-13,4,3299.99
6,21,496,2020-08-15,4,3299.99
3,5,391,2021-05-16,5,28.99
5,13,410,2020-09-02,1,35
5,23,467,2019-09-08,3,259.99
4,10,480,2020-03-25,2,20.99
1,2,221,2020-12-31,3,2.99
6,22,473,2021-10-17,3,78.99
5,8,19,2019-09-07,1,21.99
6,6,229,2021-08-05,1,9.99
5,18,194,2020-10-17,2,95.99
2,22,3,2019-09-22,3,78.99
1,5,422,2020-11-23,1,28.99
6,3,321,2019-07-14,3,154.9
1,6,172,2020-02-12,5,9.99
6,20,19,2020-02-15,2,95.99
2,20,444,2019-06-23,2,95.99
4,20,81,2020-05-09,3,95.99
2,6,276,2022-01-04,4,9.99
5,9,46,2019-12-18,1,28.99
2,13,259,2020-07-03,2,35
6,15,458,2022-05-15,5,548.99
1,11,465,2021-08-02,4,52.5
5,13,191,2019-09-07,2,35
5,22,197,2020-02-29,3,78.99
5,13,8,2022-02-18,4,35
2,22,271,2021-06-11,1,78.99
5,5,395,2019-10-19,4,28.99
1,21,219,2020-08-09,4,3299.99
1,2,94,2021-05-06,5,2.99
1,14,322,2021-11-08,1,57.9
5,23,494,2019-10-31,4,259.99
4,15,18,2020-11-28,3,548.99
3,7,199,2021-04-06,2,8.99
1,8,389,2021-04-03,3,21.99
3,20,20,2019-12-06,4,95.99
6,7,36,2019-09-09,2,8.99
4,4,113,2019-08-13,3,131.99
3,18,293,2021-10-08,4,95.99
4,13,447,2020-10-10,2,35
2,13,175,2020-12-29,1,35
4,18,305,2021-11-19,4,95.99
5,9,306,2020-01-23,5,28.99
1,20,176,2019-07-28,4,95.99
5,23,60,2022-05-06,4,259.99
2,11,100,2020-03-03,3,52.5
1,20,335,2021-09-21,2,95.99
4,8,30,2021-04-21,5,21.99
1,15,244,2020-06-01,3,548.99
4,12,367,2020-10-08,4,129.99
4,10,470,2019-06-21,4,20.99
1,21,40,2020-09-16,2,3299.99
1,12,410,2020-02-22,2,129.99
3,6,236,2020-05-12,4,9.99
6,4,417,2020-05-05,3,131.99
6,15,355,2020-07-16,1,548.99
1,17,212,2021-06-16,4,70.3
6,6,130,2022-05-13,2,9.99
3,12,246,2022-05-05,1,129.99
3,12,234,2020-07-09,5,129.99
3,8,343,2019-11-16,5,21.99
5,7,384,2021-10-21,4,8.99
6,21,389,2019-11-24,5,3299.99
1,13,30,2020-05-19,4,35
2,14,261,2019-12-16,5,57.9
2,20,266,2021-03-27,2,95.99
6,9,243,2021-02-03,3,28.99
4,17,30,2020-01-12,1,70.3
2,18,141,2020-07-08,5,95.99
6,17,496,2021-11-25,5,70.3
3,11,5,2019-12-05,1,52.5
6,14,104,2020-03-11,5,57.9
1,19,35,2022-02-25,5,31.99
5,11,251,2019-10-12,4,52.5
5,14,211,2019-12-23,3,57.9
6,15,395,2019-09-23,5,548.99
4,16,378,2022-02-21,1,106.99
4,6,211,2022-04-23,1,9.99
1,8,78,2021-08-30,1,21.99
4,8,497,2021-10-29,1,21.99
3,1,386,2021-03-17,5,360
1,21,4,2021-11-14,1,3299.99
4,7,175,2021-05-14,4,8.99
1,8,53,2019-07-08,4,21.99
3,11,273,2020-05-13,3,52.5
3,18,268,2021-07-14,5,95.99
6,12,286,2022-01-07,2,129.99
2,7,459,2020-04-25,3,8.99
1,11,42,2021-01-19,4,52.5
5,8,2,2022-02-27,1,21.99
6,14,310,2019-06-20,2,57.9
4,20,172,2020-01-09,1,95.99
4,21,108,2020-07-01,1,3299.99
4,18,224,2021-12-12,2,95.99
5,16,414,2021-06-10,5,106.99
1,14,170,2019-10-22,2,57.9
1,20,81,2021-08-27,5,95.99
1,22,310,2022-03-14,3,78.99
2,16,242,2021-11-22,1,106.99
3,17,392,2021-04-22,3,70.3
6,16,290,2020-09-12,2,106.99
6,13,392,2020-12-12,4,35
4,15,494,2022-04-19,5,548.99
1,6,86,2021-03-15,1,9.99
5,10,221,2022-03-15,2,20.99
3,23,369,2021-05-11,3,259.99
6,17,413,2022-02-18,4,70.3
5,18,49,2019-09-28,4,95.99
2,12,328,2021-01-23,3,129.99
1,21,171,2021-07-13,1,3299.99
6,16,122,2019-10-26,4,106.99
1,15,290,2020-08-15,5,548.99
2,17,369,2021-07-26,2,70.3
3,21,414,2020-07-10,1,3299.99
2,19,308,2022-02-16,5,31.99
2,23,222,2019-09-01,3,259.99
4,12,22,2019-06-13,5,129.99
3,9,397,2021-02-21,4,28.99
4,6,90,2021-06-26,3,9.99
